    0.3007314E+03    0.9603485E+02    0.7015971E-01   -0.3512570E-01   -0.3452127E-01
    0.2988126E+03    0.9641421E+02   -0.4221606E-01    0.1527035E-01   -0.1254512E-01
    0.2984826E+03    0.9615547E+02    0.2229983E-01   -0.1016788E+00    0.4524812E-01
    0.3007799E+03    0.9671652E+02    0.1655225E-01   -0.8915259E-01   -0.6706544E-02
    0.2992218E+03    0.9632074E+02    0.6778298E-01    0.4871577E-01   -0.3565015E-01
    0.3034304E+03    0.9617791E+02   -0.1661250E-01    0.7200421E-01   -0.1180969E+00
    0.2983345E+03    0.9674079E+02    0.1086155E+00   -0.6016257E-01    0.6334157E-01
    0.2977830E+03    0.9611734E+02   -0.9116701E-01   -0.1089164E-01   -0.2281480E-01
    0.2992822E+03    0.9680423E+02   -0.7631063E-01   -0.5730624E-01    0.1025477E+00
    0.3039420E+03    0.9634677E+02    0.3092116E-01    0.9315371E-01    0.7990269E-01
    0.3021281E+03    0.9611043E+02   -0.1206070E-01   -0.8606699E-01    0.7801753E-01
    0.3012587E+03    0.9679878E+02   -0.5242865E-01    0.2301347E-01   -0.3819999E-01
    0.2989791E+03    0.9619580E+02    0.2996383E-01   -0.4823645E-01   -0.4555652E-01
    0.2968134E+03    0.9636698E+02   -0.4210247E-01    0.1241815E+00    0.1763552E-01
    0.3038487E+03    0.9600888E+02   -0.1472017E+00   -0.2171689E-01   -0.2690572E-01
    0.2961859E+03    0.9601402E+02    0.9096899E-02   -0.2139526E-01    0.8506992E-01
    0.2986895E+03    0.9624899E+02   -0.2701594E-01   -0.8215804E-01   -0.1100368E+00
    0.3010205E+03    0.9657349E+02    0.3548754E-01   -0.7174019E-01   -0.7928111E-01
    0.2983998E+03    0.9653043E+02   -0.1583805E+00    0.5639697E-01   -0.1114873E+00
    0.3010943E+03    0.9667337E+02    0.3552126E-01    0.5364493E-02   -0.8817130E-01
    0.3007587E+03    0.9637263E+02   -0.2299678E-01   -0.3649758E-01    0.9267969E-03
    0.3037550E+03    0.9666938E+02    0.9166421E-01    0.1309614E+00   -0.8484791E-01
    0.2981911E+03    0.9691438E+02   -0.2017133E+00    0.4791372E-02    0.5504931E-01
    0.3023643E+03    0.9636780E+02    0.3733034E-01    0.4907269E-01    0.4578948E-01
    0.3019695E+03    0.9615996E+02    0.1320927E-01    0.1041492E-01    0.4965844E-01
    0.2996394E+03    0.9622573E+02    0.2570525E-01    0.3025624E-02   -0.7055388E-01
    0.3020069E+03    0.9670397E+02    0.1570344E+00   -0.9123687E-01    0.6193219E-01
    0.2970377E+03    0.9617209E+02    0.2453887E-01   -0.5518090E-01    0.5196052E-01
    0.2965021E+03    0.9636372E+02   -0.6577779E-03   -0.4645151E-01   -0.4027024E-01
    0.2975662E+03    0.9696618E+02    0.1061287E+00    0.9561954E-02   -0.3033925E-01
    0.3027730E+03    0.9643315E+02   -0.1005566E+00   -0.5500601E-01   -0.1418762E+00
    0.3018764E+03    0.9687542E+02   -0.8570412E-02    0.6420142E-01   -0.4882638E-01
    0.2975253E+03    0.9653726E+02    0.1501332E+00   -0.1109181E+00    0.1790592E+00
    0.2985192E+03    0.9688947E+02    0.6256014E-01   -0.8236227E-01    0.5863541E-01
    0.2998317E+03    0.9675547E+02   -0.1124927E+00   -0.9736456E-01   -0.9675089E-01
    0.3014966E+03    0.9636136E+02   -0.2537524E-01    0.1125907E-01    0.1598542E-01
    0.3024467E+03    0.9605264E+02   -0.2123991E-01   -0.4024104E-02    0.8948731E-01
    0.2979501E+03    0.9614999E+02    0.1068791E+00    0.9768625E-01   -0.7087420E-01
    0.2982728E+03    0.9604040E+02   -0.2456611E-01   -0.7737942E-01   -0.6747154E-01
    0.3003282E+03    0.9636428E+02   -0.8861223E-01   -0.2311076E-01    0.1099488E+00
