    0.00  3.0287E+06  5.2360E+05  0.0000E+00  5.9005E+06  9.4527E+06
   25.00  3.0357E+06  5.2531E+05  3.7820E+02  5.8916E+06  9.4529E+06
   50.00  3.0348E+06  5.2511E+05  3.6055E+02  5.8925E+06  9.4528E+06
   75.00  3.0346E+06  5.2511E+05  3.9441E+02  5.8928E+06  9.4528E+06
  100.00  3.0365E+06  5.2576E+05  4.3105E+02  5.8902E+06  9.4529E+06
  125.00  3.0383E+06  5.2646E+05  4.8716E+02  5.8877E+06  9.4529E+06
  150.00  3.0399E+06  5.2713E+05  6.3661E+02  5.8852E+06  9.4529E+06
  175.00  3.0426E+06  5.2825E+05  7.5876E+02  5.8812E+06  9.4528E+06
  200.00  3.0455E+06  5.2931E+05  1.0083E+03  5.8771E+06  9.4530E+06
  225.00  3.0491E+06  5.3072E+05  1.1244E+03  5.8722E+06  9.4531E+06
  250.00  3.0543E+06  5.3239E+05  1.3753E+03  5.8648E+06  9.4529E+06
  275.00  3.0581E+06  5.3382E+05  1.4249E+03  5.8596E+06  9.4530E+06
  300.00  3.0644E+06  5.3581E+05  1.6094E+03  5.8513E+06  9.4531E+06
  325.00  3.0682E+06  5.3728E+05  1.6140E+03  5.8459E+06  9.4529E+06
  350.00  3.0729E+06  5.3898E+05  1.7486E+03  5.8395E+06  9.4531E+06
  375.00  3.0768E+06  5.4067E+05  1.7572E+03  5.8339E+06  9.4532E+06
  400.00  3.0790E+06  5.4162E+05  1.8513E+03  5.8305E+06  9.4529E+06
  425.00  3.0791E+06  5.4188E+05  2.0380E+03  5.8300E+06  9.4530E+06
  450.00  3.0785E+06  5.4213E+05  2.2035E+03  5.8303E+06  9.4531E+06
  475.00  3.0798E+06  5.4289E+05  2.2842E+03  5.8280E+06  9.4530E+06
  500.00  3.0781E+06  5.4258E+05  2.2834E+03  5.8300E+06  9.4530E+06
  525.00  3.0753E+06  5.4170E+05  2.5738E+03  5.8334E+06  9.4530E+06
  550.00  3.0743E+06  5.4151E+05  2.6546E+03  5.8344E+06  9.4529E+06
  575.00  3.0735E+06  5.4104E+05  2.4321E+03  5.8358E+06  9.4528E+06
  600.00  3.0725E+06  5.4054E+05  2.3233E+03  5.8373E+06  9.4526E+06
  625.00  3.0710E+06  5.3996E+05  2.4816E+03  5.8391E+06  9.4526E+06
  650.00  3.0705E+06  5.3954E+05  2.3828E+03  5.8402E+06  9.4526E+06
  675.00  3.0710E+06  5.3941E+05  2.1133E+03  5.8400E+06  9.4525E+06
  700.00  3.0708E+06  5.3919E+05  2.1042E+03  5.8403E+06  9.4525E+06
  725.00  3.0699E+06  5.3884E+05  2.1789E+03  5.8415E+06  9.4524E+06
  750.00  3.0703E+06  5.3886E+05  2.1379E+03  5.8414E+06  9.4526E+06
  775.00  3.0703E+06  5.3880E+05  2.1515E+03  5.8413E+06  9.4526E+06
  800.00  3.0702E+06  5.3880E+05  2.1997E+03  5.8415E+06  9.4527E+06
  825.00  3.0705E+06  5.3888E+05  2.2019E+03  5.8413E+06  9.4529E+06
  850.00  3.0699E+06  5.3867E+05  2.2783E+03  5.8421E+06  9.4529E+06
  875.00  3.0687E+06  5.3826E+05  2.3879E+03  5.8436E+06  9.4530E+06
  900.00  3.0692E+06  5.3839E+05  2.3790E+03  5.8434E+06  9.4534E+06
  925.00  3.0692E+06  5.3833E+05  2.3713E+03  5.8437E+06  9.4536E+06
  950.00  3.0682E+06  5.3790E+05  2.4279E+03  5.8452E+06  9.4537E+06
  975.00  3.0674E+06  5.3764E+05  2.4605E+03  5.8465E+06  9.4540E+06
 1000.00  3.0671E+06  5.3763E+05  2.5334E+03  5.8472E+06  9.4544E+06
 1025.00  3.0663E+06  5.3734E+05  2.5445E+03  5.8483E+06  9.4545E+06
 1050.00  3.0661E+06  5.3730E+05  2.5264E+03  5.8488E+06  9.4547E+06
 1075.00  3.0652E+06  5.3721E+05  2.6762E+03  5.8500E+06  9.4551E+06
 1100.00  3.0641E+06  5.3702E+05  2.7937E+03  5.8513E+06  9.4552E+06
 1125.00  3.0641E+06  5.3712E+05  2.7677E+03  5.8513E+06  9.4553E+06
 1150.00  3.0638E+06  5.3714E+05  2.8326E+03  5.8518E+06  9.4555E+06
 1175.00  3.0626E+06  5.3695E+05  3.0371E+03  5.8530E+06  9.4556E+06
 1200.00  3.0624E+06  5.3708E+05  3.1484E+03  5.8531E+06  9.4557E+06
 1225.00  3.0633E+06  5.3746E+05  3.1224E+03  5.8520E+06  9.4559E+06
 1250.00  3.0632E+06  5.3755E+05  3.2343E+03  5.8519E+06  9.4559E+06
 1275.00  3.0630E+06  5.3771E+05  3.4347E+03  5.8519E+06  9.4560E+06
 1300.00  3.0638E+06  5.3807E+05  3.5236E+03  5.8506E+06  9.4560E+06
 1325.00  3.0648E+06  5.3853E+05  3.5364E+03  5.8491E+06  9.4559E+06
 1350.00  3.0656E+06  5.3887E+05  3.6983E+03  5.8479E+06  9.4560E+06
 1375.00  3.0667E+06  5.3941E+05  3.7737E+03  5.8462E+06  9.4561E+06
 1400.00  3.0679E+06  5.3979E+05  3.8285E+03  5.8445E+06  9.4560E+06
 1425.00  3.0690E+06  5.4022E+05  3.8965E+03  5.8428E+06  9.4560E+06
 1450.00  3.0710E+06  5.4081E+05  3.9479E+03  5.8404E+06  9.4561E+06
 1475.00  3.0730E+06  5.4147E+05  3.9111E+03  5.8378E+06  9.4561E+06
 1500.00  3.0743E+06  5.4187E+05  3.9876E+03  5.8358E+06  9.4560E+06
 1525.00  3.0762E+06  5.4254E+05  4.0329E+03  5.8333E+06  9.4561E+06
 1550.00  3.0787E+06  5.4338E+05  4.0747E+03  5.8300E+06  9.4562E+06
 1575.00  3.0809E+06  5.4410E+05  4.1208E+03  5.8270E+06  9.4561E+06
 1600.00  3.0829E+06  5.4488E+05  4.1844E+03  5.8240E+06  9.4561E+06
 1625.00  3.0857E+06  5.4599E+05  4.2899E+03  5.8201E+06  9.4561E+06
 1650.00  3.0876E+06  5.4687E+05  4.4354E+03  5.8172E+06  9.4561E+06
